,BlackElo,WhiteElo,moves,move_num,winner,Black_Elo_Num,White_Elo_Num
Game47674,2413,2416,1. e4 e6 2. Nc3 Nf6 3. e5 Nd5 4. d4 Nxc3 5. bxc3 c5 6. Nf3 Nc6 7. d5 exd5 8. Qxd5 d6 9. exd6 Qxd6 10. Bc4 Be6 11. Qxd6 Bxd6 12. Bxe6 fxe6 13. O-O Kd7 14. Re1 Rhf8 15. Ng5 Be5 16. Bd2 h6 17. Nf3 Bd6 18. Rad1 Rae8 19. Be3 Kc7 20. Nd2 b6 21. Nc4 g5 22. Nxd6,22,white,2413,2416
Game62936,2402,2426,1. d4 d5 2. Nf3 c6 3. c4 Nf6 4. Nc3 e6 5. Qc2 Nbd7 6. e3 Qa5 7. Bd2 Bb4 8. a3 dxc4 9. Bxc4 b5 10. Bd3 a6 11. O-O Bxc3 12. Bxc3 Qb6 13. e4 c5 14. dxc5 Nxc5 15. Rad1 Nxd3 16. Qxd3 Bb7 17. Bxf6 gxf6 18. e5 Rd8 19. Qxd8+ Qxd8 20. Rxd8+ Kxd8 21. Rd1+ Ke7 22. exf6+ Kxf6 23. Nd2 Rc8 24. Nb3 Rc2 25. Na5 Bd5 26. Rb1 Ke5 27. f3 Kd4 28. b3 Kc3 29. b4 Rb2 30. Rc1+ Rc2 31. Rb1 Ra2 32. Rc1+ Kd2 33. Rc7 Ke3 34. h3 Ra1+ 35. Kh2 Rxa3 36. Rxf7 Ra4 37. Ra7 Rxb4 38. Rxa6 Ra4 39. Ra7 b4 40. Nc4+ Bxc4 41. Rxa4 b3 42. Rxc4 Kd3 43. Rb4 Kc3 44. Rb6 b2 45. Kg3 e5 46. Kg4 Kd4 47. Kf5 e4 48. fxe4 Kc3 49. Rxb2 Kxb2 50. e5 Kc3 51. e6,51,white,2402,2426
Game63179,2408,2420,1. d4 d5 2. Nf3 c6 3. c4 Nf6 4. Nc3 e6 5. Qc2 dxc4 6. e4 b5 7. a4 b4 8. Ne2 Ba6 9. Bg5 Qa5 10. Bxf6 gxf6 11. g3 b3+ 12. Qd2 Bb4 13. Nc3 Nd7 14. Bg2 Bxc3 15. bxc3 Rb8 16. Qb2 c5 17. O-O cxd4 18. Nxd4 Qc5 19. Kh1 Ne5 20. Rad1 Nd3 21. Qb1 Ke7 22. Bf3 Rhd8 23. Be2 Rxd4 24. cxd4 Qxd4 25. Bxd3 cxd3 26. Rfe1 b2 27. Re3 Rb3 28. f3 Qc4 29. Ree1 Qc2 30. Rf1 Ra3 31. Kg1 Ra1 32. Qxc2 dxc2 33. Rxa1 Bxf1,33,black,2408,2420
Game63230,2408,2420,1. d4 d5 2. c4 e5 3. dxe5 d4 4. Nf3 Nc6 5. a3 Be6 6. Qc2 Nge7 7. Bg5 h6 8. Bh4 g5 9. Bg3 Bg7 10. Nbd2 Nf5 11. Qe4 O-O 12. Rd1 a5 13. Nb3 Qe7 14. Nbxd4 Ncxd4 15. Nxd4 Nxd4 16. Rxd4 Rad8 17. e3 f5 18. exf6 Bxf6 19. Be5 Bf7 20. Bxf6 Qxf6 21. Bd3 Qg7 22. O-O Rde8 23. Qg4 Be6 24. Qh5 c6 25. Bg6 Re7 26. Rfd1 Bf7 27. Bxf7+ Rexf7 28. Rd8 Rxf2 29. Rxf8+ Qxf8 30. Qg6+ Kh8 31. h4 Rf6 32. Qh5 Qf7 33. Rd8+ Kg7 34. Qd1 gxh4 35. Rd7 Rf1+ 36. Kh2 Rxd1 37. Rxf7+ Kxf7 38. Kh3 Kg6 39. Kxh4 Rd2 40. g4 Rxb2 41. Kg3 Rg2+ 42. Kxg2 Kg5 43. Kg3 h5 44. gxh5 Kxh5 45. Kf4 b5 46. cxb5 cxb5 47. Ke4 a4,47,black,2408,2420
Game63293,2408,2420,1. d4 d5 2. Nf3 c6 3. c4 Nf6 4. Nc3 e6 5. e3 Bd6 6. Bd3 dxc4 7. Bxc4 b5 8. Bd3 Nbd7 9. O-O Bb7 10. a3 a6 11. e4 e5 12. dxe5 Nxe5 13. Nxe5 Bxe5 14. Qe2 c5 15. Rd1 Qc7 16. Be3 Bxh2+ 17. Kh1 Be5 18. Nxb5 axb5 19. Bxb5+ Kf8 20. Rac1 Nxe4 21. b4 Qe7 22. Qg4 h5 23. Qh3 Bd4 24. Rxd4 cxd4 25. Bxd4 Rd8 26. Bb6 Rd6 27. Rc8+ Bxc8 28. Qxc8+ Rd8 29. Bxd8 Qe6 30. Qb8 Nxf2+ 31. Kg1 Qe1+ 32. Kh2 Ng4+ 33. Kh3 Qh1+ 34. Kg3 Qe1+ 35. Kh3 Qe3+,35,black,2408,2420
Game63420,2420,2408,1. d4 d5 2. Nf3 c6 3. c4 Nf6 4. Nc3 e6 5. Qc2 dxc4 6. a4 Nbd7 7. e4 Bb4 8. Bxc4 Qa5 9. Bd2 b5 10. Bd3 a6 11. O-O Qb6 12. axb5 cxb5 13. Nxb5 O-O 14. Bxb4 axb5 15. Rxa8 Re8 16. Rxc8,16,white,2420,2408
Game63449,2420,2408,1. d4 d5 2. c4 e5 3. dxe5 d4 4. Nf3 Nc6 5. a3 Be6 6. Qc2 Nge7 7. Bf4 Ng6 8. Bg3 h5 9. h3 a5 10. Nbd2 a4 11. Qd3 Bc5 12. Ne4 Qe7 13. Nxc5 Qxc5 14. e3 dxe3 15. Qxe3 Qxe3+ 16. fxe3 O-O-O 17. Rd1 Rxd1+ 18. Kxd1 Rd8+ 19. Kc2 Bf5+ 20. Kc1 Re8 21. Be2 Ngxe5 22. Nxe5 Nxe5 23. Rf1 Bg6 24. Kd2 f6 25. Kc3 Nc6 26. Bf3 Rxe3+ 27. Kd2 Re6 28. Bd5 Re7 29. Bxc6 bxc6 30. Kc3 Be4 31. Rf2 Re6 32. Re2 f5 33. Bf4 Rg6 34. g3 Re6 35. h4 Kd7 36. Rd2+ Ke8 37. Kb4 Re7 38. Kxa4 Kf7 39. Kb4 Bf3 40. Bg5 Re4 41. Rd7+ Kg6 42. Rxc7 Be2 43. b3 Bf3 44. Rxc6+ Kh7 45. Rc7 Re1 46. Bd2 Rb1 47. Bc3 Bd1 48. Rxg7+ Kh6 49. Rg8 Bxb3 50. Kc5 Ba2 51. Rh8+ Kg6 52. Rg8+ Kf7 53. Rg5 Ke6 54. Rg6+ Ke7,54,black,2420,2408
Game63556,2419,2409,1. d4 d5 2. c4 e5 3. dxe5 d4 4. Nf3 Nc6 5. a3 Be6 6. Bd2 Nge7 7. Qc2 Nf5 8. h3 h5 9. g3 a5 10. Bg2 a4 11. O-O Bc5 12. Bf4 h4 13. g4 Ng3 14. Re1 g5 15. Bxg5 Qd7 16. Bxh4 Rxh4 17. Nxh4 O-O-O 18. Qh7 d3 19. Nc3 d2 20. Red1 Qd4 21. e3 Qxc4 22. fxg3 Bxe3+ 23. Kh2 Nd4 24. Qe4 Nc2 25. Qxb7+ Kd7 26. Qb5+ Qxb5 27. Nxb5 Rb8 28. Nc3 Rxb2 29. Rab1 Rxb1 30. Nxb1 Ne1 31. Nxd2 Bxd2 32. Rxd2+ Ke7 33. Bf1 Bb3 34. Re2 Nc2 35. Re3 Nd4 36. Rd3 Ne6 37. Nf5+ Kf8 38. Rc3 c5 39. Bc4 Bxc4 40. Rxc4 Ke8 41. Nd6+ Kd7 42. Nxf7 Kc6 43. Nd6 Kd5 44. Rc3 Nd4 45. Nc4 Nb5 46. Ne3+ Kd4 47. Rxc5 Kxe3 48. Rxb5 Kf3 49. Rb4 Kf2 50. e6 Kf3 51. e7 Kf2 52. e8=Q Kf3 53. Qe4+ Kf2 54. Qf4+ Ke2 55. Re4+ Kd3 56. Qf3+ Kc2 57. Re2+,57,white,2419,2409
Game108456,2519,2532,1. d4 e6 2. c4 d5 3. Nf3 Nf6 4. g3 Nbd7 5. Bg2 c6 6. O-O Bd6 7. Qc2 O-O 8. Nfd2 e5 9. dxe5 Nxe5 10. cxd5 cxd5 11. Nc3 Be6 12. Nf3 Nxf3+ 13. Bxf3 Rc8 14. Be3 Be5 15. Rad1 Qa5 16. Bd4 Bxd4 17. Rxd4 Rc7 18. Rfd1 Rfc8 19. Qb1 Qb6 20. e3 Rc5 21. a3 h6 22. Na4 Qb3 23. Nxc5 Rxc5 24. Rc1 Rb5 25. Rd2 Rb6 26. Qc2 Qb5 27. Qc5 Qd7 28. Qd4 Qe7 29. Kg2 g6 30. b4 Bd7 31. Rdc2 Qe6 32. Kg1 Qh3 33. Bg2 Qf5 34. Rc7 Bc6 35. Qf4 Qxf4 36. gxf4 Ra6 37. Rc3 Kg7 38. f5 gxf5 39. Bf1 Ne8 40. Bxa6 Nxc7 41. Bxb7 Bxb7 42. Rxc7 Ba6 43. Rxa7 Bc4 44. a4 Kf6 45. a5 Ke6 46. a6 Kd6 47. Rb7 Kc6 48. Rxf7 Bxa6 49. Rf6+ Kb5 50. Rxh6 Bc8 51. Rh5 Kxb4 52. h4 Be6 53. Rg5 Bc8 54. h5 Kc5 55. h6 Kd6 56. h7 Be6 57. h8=Q Kc5 58. Qd4+ Kd6 59. Rg6 Ke7 60. Rxe6+ Kf7 61. f4 Kxe6 62. Qe5+ Kf7 63. Qxd5+ Kg6 64. Qe5 Kh5 65. Qxf5+ Kh6 66. Qg5+ Kh7 67. f5 Kh8 68. f6 Kh7 69. Qg7#,69,white,2519,2532
Game108591,2509,2542,1. b3 e6 2. Bb2 d5 3. g3 Be7 4. Bg2 Bf6 5. Bxf6 Nxf6 6. Nf3 O-O 7. O-O Nbd7 8. d3 b6 9. Nbd2 Bb7 10. c4 c5 11. Qc2 d4 12. Qb2 e5 13. Rfe1 Qc7 14. b4 Rfe8 15. bxc5 Nxc5 16. Ng5 Bxg2 17. Kxg2 h6 18. Ngf3 Qc6 19. Kg1 Rad8 20. Qb4 a5 21. Qb5 Qxb5 22. cxb5 e4 23. dxe4 Nfxe4 24. Nxe4 Rxe4 25. Rad1 d3 26. exd3 Rb4 27. d4 Ne6 28. d5 Nc5 29. d6 Rxb5 30. Ne5 Rb2 31. Nc6 Rd7 32. Re8+ Kh7 33. Re7 Rxa2 34. Ne5 Rd8 35. Nxf7 Rf8 36. d7 Nxd7 37. Rdxd7 Ra1+ 38. Kg2 Ra2 39. h4 b5 40. g4 b4 41. h5 b3 42. Kg3 b2 43. Ne5 Ra3+ 44. f3 Rg8 45. Rb7 Ra2 46. Ng6 a4 47. Nf8+ Kh8 48. Ne6 a3 49. Nxg7 b1=Q 50. Rxb1 Rxg7 51. Rb8+ Kh7 52. Ree8 Rf7 53. Rh8+ Kg7 54. Rbg8+ Kf6 55. Rxh6+ Ke5 56. Ra6 Kd4 57. Rd8+ Kc3 58. Rda8 Kb2,58,black,2509,2542
Game121139,2426,2462,1. d4 d6 2. c4 g6 3. Nc3 Nf6 4. Nf3 Bg7 5. e3 O-O 6. b3 Nc6 7. Bb2 Bg4 8. h3 Bxf3 9. Qxf3 e5 10. O-O-O exd4 11. exd4 a5 12. g4 h5 13. g5 Nh7 14. h4 Re8 15. Bh3 Ne7 16. Kb1 Nf8 17. Ne4 Ne6 18. d5 Nc5 19. Bxg7 Kxg7 20. Qf6+ Kg8 21. Nxc5 dxc5 22. d6 Nf5 23. Bxf5 Qxf6 24. gxf6 gxf5 25. Rhg1+ Kf8 26. dxc7 Rac8 27. Rd7 Re6 28. Rd8+ Re8 29. Rxe8+ Kxe8 30. Re1+ Kd7 31. Re7+ Kd6 32. Rxf7 Ke6 33. Rh7 Kxf6 34. Kc2 Ke5 35. Kd3 Kf4 36. Ke2 b5 37. cxb5 Rxc7 38. Rxc7 Kg4 39. b6 f4 40. b7 f3+ 41. Ke3 Kxh4 42. b8=Q Kh3 43. Qg8 h4 44. Rh7 a4 45. Qg5 Kh2 46. Rxh4#,46,white,2426,2462
Game121199,2473,2417,1. e4 c5 2. Nc3 Nc6 3. Nf3 g6 4. d4 cxd4 5. Nxd4 Bg7 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bg5 Kc7 9. O-O-O h6 10. Bd2 Nf6 11. e5 Nd7 12. f4 Nc5 13. Be3 Ne6 14. Ne4 b6 15. Bc4 Rd8 16. Bxe6 Bxe6 17. Rxd8 Rxd8 18. g3 Bd5 19. Nf2 Bxh1 20. Nxh1 g5 21. Nf2 gxf4 22. Bxf4 e6 23. Ne4 Rd5 24. Nd6 Bxe5 25. Nxf7 Bxf4+ 26. gxf4 Rf5 27. Ne5 Rxf4 28. Kd2 Rf2+ 29. Ke3 Rxh2 30. Nf7 Rxc2 31. Nxh6 Rxb2 32. Ng8 Rxa2 33. Nf6 Kd6 34. Ne8+ Ke5 35. Nc7 Ra3+ 36. Kd2 a5 37. Kc2 Rh3 38. Kb2 b5 39. Na6 a4 40. Nc5 Kd4 41. Nxe6+ Kc4 42. Ng5 Rh2+ 43. Ka3 b4+ 44. Kxa4 Ra2#,44,black,2473,2417
Game121245,2408,2484,1. d4 e6 2. c4 d5 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Nc6 6. Qc2 Be7 7. e3 Be6 8. Bb5 g6 9. Nge2 Bf5 10. Qa4 O-O 11. Bxc6 bxc6 12. Qxc6 Ne4 13. Bxe7 Qxe7 14. Nxd5 Qg5 15. O-O Nd2 16. Rfd1 Be4 17. Nf6+ Kg7 18. Nxe4 Nxe4 19. Qxe4 Rfe8 20. Qf3 c5 21. d5 Qe5 22. b3 Qb2 23. Rac1 Qa3 24. d6 Qxa2 25. d7 Red8 26. Rxc5 Qxb3 27. Rcd5 a5 28. Ng3 a4 29. h4 a3 30. h5 a2 31. h6+ Kg8 32. Qf6 Kf8 33. Qg7+ Ke7 34. Re5+ Qe6 35. Rxe6+ Kxe6 36. Ne4 a1=Q 37. Rxa1 Rxa1+ 38. Qxa1 f5 39. Nc5+ Kd5 40. Qd4+ Kc6 41. g3 g5 42. f4 g4 43. Kg2 Kc7 44. Ne6+ Kc6 45. Nxd8+ Kb5 46. Nf7 Kc6 47. d8=Q Kb7 48. Q8b6+ Kc8 49. Qdd8#,49,white,2408,2484
Game121315,2494,2400,1. e4 c5 2. Nc3 Nc6 3. Nf3 g6 4. d4 cxd4 5. Nxd4 Bg7 6. Nxc6 bxc6 7. Bc4 Nf6 8. e5 Nd5 9. Nxd5 cxd5 10. Qxd5 O-O 11. Qxa8 Qa5+ 12. c3 Ba6 13. Qe4 Bxc4 14. Qxc4 Qxe5+ 15. Be3 Rb8 16. O-O Rxb2 17. Qc8+,17,white,2494,2400
Game121335,2413,2478,1. h4 d6 2. h5 Nf6 3. h6 gxh6 4. d4 Nc6 5. Bxh6 Bxh6 6. Rxh6 Ng4 7. Rh4 Nf6 8. Nf3 e5 9. dxe5 dxe5 10. Qxd8+ Kxd8 11. Nc3 Bg4 12. O-O-O+ Kc8 13. e3 Bxf3 14. gxf3 a6 15. Bh3+ Kb8 16. Rh6 Ne8 17. Bd7 Nd6 18. Bxc6 bxc6 19. Ne4 Nf5 20. Rf6 Ne7 21. Rxf7 Nd5 22. c4 Nb6 23. c5 Nd5 24. Nf6 Nxf6 25. Rxf6 h5 26. Rd7 h4 27. Rff7 Ra7 28. Rh7 Rf8 29. Rdf7 Rg8 30. Rxh4 Rg2 31. Rh8+ Kb7 32. Rhh7 Kc8 33. f4 Rxf2 34. fxe5 Re2 35. e6 Rxe3 36. Rf8+ Kb7 37. e7 Rxe7 38. Rxe7 a5 39. Rff7 Ka6 40. Rxc7 Ra8 41. Rb7 Rd8 42. Rb6#,42,white,2413,2478
Game121385,2488,2405,1. d4 Nf6 2. Nc3 g6 3. Nf3 Bg7 4. e4 e6 5. e5 Nd5 6. Nxd5 exd5 7. c4 dxc4 8. Bxc4 O-O 9. Bg5 Qe8 10. O-O Kh8 11. Bf6 Nc6 12. Bxg7+ Kxg7 13. Re1 b6 14. d5 Na5 15. Bd3 Bb7 16. b4 Bxd5 17. bxa5 Qe6 18. Be4 Bxe4 19. Rxe4 bxa5 20. Nd4 Qd5 21. Qd3 Kg8 22. Qe3 Rfe8 23. Re1 Rab8 24. Nf3 Rb2 25. Qh6 Qc5 26. Rf1 f6 27. e6 dxe6 28. Rh4 Re7 29. h3 e5 30. Ne1 e4 31. g3 e3 32. f4 Qd5 33. Nf3 Rf2 34. Rxf2 exf2+ 35. Kxf2 Qxa2+ 36. Kf1 Qb1+ 37. Kf2 Qc2+ 38. Kf1 Qe2+ 39. Kg1 Qxf3 40. Qxh7+ Rxh7 41. Rh6 Rxh6 42. Kh2 Qf2+ 43. Kh1 Rxh3#,43,black,2488,2405
Game179851,2617,2526,1. e4 e6 2. d4 Nf6 3. Nd2 d5 4. e5 Nfd7 5. Bd3 c5 6. c3 Nc6 7. Ne2 Qb6 8. Nf3 c4 9. Bc2 a5 10. O-O Qa6 11. Ne1 b5 12. f4 g6 13. Nf3 Be7 14. Kh1 b4 15. g4 Nb6 16. Ng3 Bd7 17. f5 O-O-O 18. Bh6 gxf5 19. gxf5 Bf8 20. Bxf8 Rdxf8 21. f6 Rfg8 22. Rg1 Qb5 23. Nh5 Nd8 24. Rg7 Kb8 25. Bxh7 Rf8 26. Ng5 Be8 27. Qd2 Na4 28. Rb1 bxc3 29. bxc3 Rxh7 30. Rxb5+,30,white,2617,2526
Game248613,2424,2403,1. Nf3 d6 2. d4 g6 3. c4 Bg7 4. Nc3 h5 5. e4 Nc6 6. d5 Ne5 7. Nxe5 Bxe5 8. Bd3 Bxc3+ 9. bxc3 e5 10. f4 exf4 11. Bxf4 Qh4+ 12. Bg3 Qf6 13. Qd2 Nh6 14. Rf1 Qg7 15. h3 f6 16. O-O-O Nf7 17. e5 Nxe5 18. c5 O-O 19. cxd6 cxd6 20. Kb1 a6 21. c4 Nxd3 22. Qxd3 Bf5 23. Rxf5 gxf5 24. Bxd6 Rfe8 25. c5 f4 26. Bxf4 Qh7 27. Qxh7+ Kxh7 28. c6 bxc6 29. dxc6 Re7 30. c7 Rc8 31. Rc1 Kg6 32. g3 Kf5 33. h4 Ke6 34. Rc6+ Kd5 35. Rxa6 Rexc7 36. Bxc7 Rxc7 37. Rxf6 Rg7 38. Rh6 Rxg3 39. Rxh5+ Kc4 40. Rg5 Rh3 41. Rg1 Kc3 42. Rc1+ Kb4 43. Ka1 Rxh4 44. Rb1+ Ka3 45. Rc1 Rh3 46. Rb1 Rh2 47. Rb3+ Ka4 48. Rb1 Rf2 49. Rb2 Rf1+ 50. Rb1 Rf3 51. Rb2 Rf1+ 52. Rb1 Rf4 53. Rb2 Ka3 54. Rb1 Rf2 55. Rb2 Rf1+ 56. Rb1 Rf3 57. Rb3+ Ka4,57,black,2424,2403
Game249082,2426,2401,1. Nf3 d6 2. d4 g6 3. e4 h6 4. Bc4 a6 5. O-O e6 6. Nc3 b5 7. Bb3 Bb7 8. d5 e5 9. a4 b4 10. Na2 a5 11. Be3 Nd7 12. Nc1 Bg7 13. Nd3 Ne7 14. Nd2 O-O 15. Nc4 f5 16. exf5 Nxf5 17. Qd2 Nxe3 18. fxe3 Qh4 19. Ne1 Nf6 20. Nf3 Qh5 21. Qe2 Bxd5 22. Rad1 Bf7 23. h3 Ne4 24. Ncd2 Ng3 25. Bxf7+ Rxf7 26. Qc4 Nxf1 27. Rxf1 Rf8 28. Ne4 Kh8 29. Ng3 Rxf3 30. Rxf3 Qg5 31. h4 Rxf3 32. hxg5 Rxg3 33. gxh6 Bxh6 34. Qxc7 Bxe3+ 35. Kf1 Rg5 36. Qxa5 b3 37. Qd8+ Kh7 38. cxb3 Rf5+ 39. Ke2 Bc5 40. Qh4+ Rh5 41. Qe7+ Kh6 42. a5 Rg5 43. Qf8+ Kh7 44. b4 Rxg2+ 45. Kf1 Rf2+ 46. Qxf2 Bxb4 47. Qh4+ Kg7 48. a6 Bc5 49. Qe7+ Kh6 50. a7 Bxa7,50,black,2426,2401
Game249211,2424,2403,1. Nf3 d5 2. d4 Nf6 3. c4 Nc6 4. cxd5 Qxd5 5. Nc3 Qd8 6. d5 Nb8 7. e4 g6 8. e5 Ng8 9. Bc4 Bg7 10. Bf4 Nh6 11. Qd2 Nf5 12. g4 g5 13. Bxg5 h6 14. Bf4 Nh4 15. Nxh4 e6 16. Nf3 exd5 17. Nxd5 Be6 18. O-O-O Nc6 19. Rhe1 Bxg4 20. Re3 O-O 21. Rg1 Bxf3 22. Rxf3 Kh8 23. Rxg7 Kxg7 24. Bxh6+ Kh7 25. Nf6+ Kh8 26. Rh3 Qc8 27. Bg7+ Kxg7 28. Qh6#,28,white,2424,2403
Game290493,2405,2406,1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3 Nbd7 6. b3 Bd6 7. Be2 Qe7 8. O-O O-O 9. Bb2 a6 10. Qc2 b5 11. a4 b4 12. Nb1 Bb7 13. Ne5 a5 14. f4 Ne4 15. c5 Bc7 16. Nd2 f5 17. Nxe4 Nxe5 18. Nd6 Ng4 19. Bxg4 Bxd6 20. cxd6 Qxd6 21. Bf3 Ba6 22. Rfc1 Rfc8 23. Qc5 Qd7 24. Qxa5 Be2 25. Qxb4 Bxf3 26. gxf3 Rcb8 27. Qc3 Ra6 28. Ba3 Qd8 29. Bc5 g5 30. fxg5 Qxg5+ 31. Kh1 Kf7 32. Rg1 Qf6 33. Rg2 Raa8 34. Rag1 Rg8 35. a5 Rxg2 36. Rxg2 f4 37. e4 dxe4 38. fxe4 f3 39. Rf2 Qg5 40. Qxf3+ Kg6 41. Qf7+ Kh6 42. Be7 Qc1+ 43. Rf1 Qxf1+ 44. Qxf1 Rf8,44,black,2405,2406
